region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
Region X,Quezon Institute of Technology,389,17,1 is to 23
Region X,Sacred Heart College of Calamba,484,25,1 is to 19
Region X,St. John Vianney Theological Seminary,64,20,1 is to 3
Region X,St. Peter's College of Balingasag,539,32,1 is to 17
Region X,St. Rita's College of Balingasag,961,43,1 is to 22
Region X,San Agustin Institute of Technology,701,47,1 is to 15
Region X,San Isidro College,793,64,1 is to 12
Region X,Southern Bukidnon Foundation Academy,83,13,1 is to 6
Region X,Southern Capital Colleges,456,19,1 is to 24
Region X,Southern De Oro Philippines College,1890,48,1 is to 39
Region X,Stella Maris College,662,25,1 is to 26
Region X,Valencia Colleges,644,38,1 is to 17
Region X,Xavier University,10860,565,1 is to 19
Region X,STI Colleges of Mindanao,760,34,1 is to 22
Region X,AMA Computer College,336,14,1 is to 24
Region X,Philippine Computer College,605,25,1 is to 24
Region X,Roman C. Villalon Memorial Colleges Foundation,415,26,1 is to 16
Region X,Oro Bible College,22,11,1 is to 2
Region X,Dr. Solomon U. Molina College,99,18,1 is to 6
Region X,Adventist Technological Institute,70,13,1 is to 5
Region X,Southern Maramag Colleges,71,10,1 is to 7
Region X,ACLC College of Bukidnon,613,16,1 is to 38
Region X,IBA College of Mindanao,404,36,1 is to 11
Region X,Misamis Oriental Institute of Science and Technology,764,35,1 is to 22
Region X,St. Mary's Maternity and Children's Hospital School,16,12,1 is to 1
Region X,The New El Salvador Colleges,26,17,1 is to 2
Region X,Our Lady of Triumph Institute of Technology,515,22,1 is to 23
Region X,Vineyard International Polytechnic College,16,6,1 is to 3
Region X,Northwestern Mindanao Institute of Technology,14,11,1 is to 1
Region X,North Central Mindanao Colleges,1736,70,1 is to 25
Region X,Iligan Capitol College,1174,39,1 is to 30
Region X,ICTI Polytechnic College,71,28,1 is to 3
Region X,Iligan Medical Center College,1923,70,1 is to 27
Region X,Mindanao Sanitarium and Hospital College,1157,68,1 is to 17
Region X,St. Michael's College,2987,134,1 is to 22
Region X,St. Peter's College-lligan City,4360,107,1 is to 41
Region X,Santa Monica Institute of Technology,124,14,1 is to 9
Region X,Lyceum of Iligan Foundation,1144,44,1 is to 26
Region X,Christ The King College De Maranding,689,35,1 is to 20
Region X,Lanao School of Science and Technology,499,30,1 is to 17
Region X,Masters Technological Institute of Mindanao,227,16,1 is to 14
Region X,Picardal Institute of Science and Technology,28,10,1 is to 3
Region XI,Agro-Industrial Foundation College of the Philippines-Davao ,1382,29,1 is to 48
Region XI,AMA Computer College-Davao,981,36,1 is to 27
Region XI,Arriesgado College Foundation,595,44,1 is to 14
Region XI,Assumption College of Nabunturan,808,45,1 is to 18
Region XI,Ateneo De Davao University,9465,451,1 is to 21
Region XI,Brokenshire College,1906,124,1 is to 15
Region XI,Cor Jesu College,2609,113,1 is to 23
Region XI,Davao Central College,1025,56,1 is to 18
Region XI,Davao Doctors College,1607,103,1 is to 16
Region XI,Davao Medical School Foundation College,1363,369,1 is to 4
Region XI,DMMA College of Southern Philippines,3692,109,1 is to 34
Region XI,Fabie School of Midwifery,27,9,1 is to 3
Region XI,Ford Academy of the Arts,19,11,1 is to 2
Region XI,General Baptist Bible College,81,9,1 is to 9
Region XI,Holy Cross College of Calinan,751,36,1 is to 21
Region XI,Holy Cross of Bansalan College,567,38,1 is to 15
Region XI,Holy Cross of Davao College,11557,367,1 is to 31
Region XI,Liceo De Davao,219,15,1 is to 15
Region XI,Mati Polytechnic College,729,22,1 is to 33
Region XI,MATS College of Technology,2515,117,1 is to 21
Region XI,Mindanao Medical Foundation College,389,38,1 is to 10
Region XI,North Davao College-Tagum Foundation,131,17,1 is to 8
Region XI,North Davao Colleges-Panabo,725,22,1 is to 33
Region XI,Philippine Women's College of Davao,1232,64,1 is to 19
Region XI,Polytechnic College of Davao del Sur,936,58,1 is to 16
Region XI,Queen of Apostles College Seminary,142,20,1 is to 7
Region XI,Rizal Memorial Colleges,1675,62,1 is to 27
Region XI,Saint Francis Xavier College Seminary,181,17,1 is to 11
Region XI,Saint Mary's College of Tagum,2641,100,1 is to 26
Region XI,Saint Peter's College of Toril,902,68,1 is to 13
Region XI,San Pedro College,4913,276,1 is to 18
Region XI,Serapion C. Basalo Memorial Foundation College,195,10,1 is to 20
Region XI,Southeastern College of Padada,940,23,1 is to 41
Region XI,Southern Philippine Adventist College,429,51,1 is to 8
Region XI,Tecarro College Foundation,67,13,1 is to 5
Region XI,UM Bansalan College,416,18,1 is to 23
Region XI,UM Digos College,2387,64,1 is to 37
Region XI,UM Guianga College,179,17,1 is to 11
Region XI,UM Panabo College,678,30,1 is to 23
Region XI,UM Tagum College,8108,187,1 is to 43
Region XI,University of Mindanao,19957,455,1 is to 44
Region XI,University of the Immaculate Conception,5652,177,1 is to 32
Region XI,Joji Ilagan Career Center Foundation,614,23,1 is to 27
Region XI,St. Francis Xavier Regional Major Seminary of Mindanao,70,17,1 is to 4
Region XI,Assumption College of Davao,975,43,1 is to 23
Region XI,Interface Computer College,414,11,1 is to 38
Region XI,UM Penaplata College,240,16,1 is to 15
Region XI,Aces Tagum College,694,32,1 is to 22
Region XI,John Paul II College of Davao,2041,76,1 is to 27
Region XI,Philippine College of Technology,899,42,1 is to 21
Region XI,Mindanao Kokosai Daigaku,339,21,1 is to 16
Region XI,Holy Child School of Davao,693,37,1 is to 19
Region XI,Mati Doctors College,312,42,1 is to 7
Region XI,Southern Philippines Baptist Theological Seminary,62,14,1 is to 4
Region XI,STI College-Davao,442,34,1 is to 13
Region XI,Jose Maria College,1055,71,1 is to 15
Region XI,Estela College,135,17,1 is to 8
Region XI,Christian Colleges of Southeast Asia,444,36,1 is to 12
Region XI,Davao Winchester Colleges,230,18,1 is to 13
Region XI,Legacy College of Compostela,521,30,1 is to 17
Region XI,Holy Cross of Davao College-Babak,162,25,1 is to 6
Region XI,St. Mary's College Baganga,258,24,1 is to 11
Region XI,Intercity College of Science and Technology,229,20,1 is to 11
Region XI,Holy Cross Academy of Sasa,166,10,1 is to 17
Region XI,Laak Institute Foundation,63,19,1 is to 3
Region XI,Tagum Doctors College,211,19,1 is to 11
Region XI,Gabriel Taborin College of Davao Foundation,364,28,1 is to 13
Region XI,ACES PolytechnicCollege,640,29,1 is to 22
Region XI,Davao Vision Colleges,236,12,1 is to 20
Region XI,East West Colleges,118,9,1 is to 13
Region XI,St. Thomas More School of Law and Business,330,28,1 is to 12
Region XI,ACQ College of Ministries,223,25,1 is to 9
Region XI,Christian Academy in Davao Oriental Technological Colleges,21,14,1 is to 2
Region XI,Koinonia Theological Seminary Foundation,68,10,1 is to 7
Region XI,Jobs Academy,83,19,1 is to 4
Region XI,Samson Polytechnic College of Davao,87,ND,ND
Region XI,Mt. Apo Science Foundation College,28,5,1 is to 6
Region XI,Northlink Technological College,42,18,1 is to 2
Region XI,ACLC College of Tagum City,261,11,1 is to 24
Region XI,Tagum City College of Science and Technology Foundation,366,15,1 is to 24
Region XII,Nikki Louise College,45,10,1 is to 5
Region XII,St. Alexius College,865,83,1 is to 10
Region XII,Edenton Mission College,881,21,1 is to 42
Region XII,Gensantos Foundation College,6075,151,1 is to 40
Region XII,Holy Trinity College of General Santos City,3087,104,1 is to 30
Region XII,King's College of Marbel,424,37,1 is to 11
Region XII,Mindanao Polytechnic College,4556,121,1 is to 38
Region XII,Notre Dame of Dadiangas University,4018,197,1 is to 20
Region XII,Notre Dame of Marbel University,3973,199,1 is to 20
Region XII,Schola de San Jose,45,7,1 is to 6
Region XII,Ramon Magsaysay Memorial Colleges,5058,121,1 is to 42
Region XII,Santa Cruz Mission School,328,10,1 is to 33
Region XII,STI College-General Santos City,2001,27,1 is to 74
Region XII,Green Valley College Foundation,708,39,1 is to 18
Region XII,Marbel School of Science and Technology,301,11,1 is to 27
Region XII,AMA Computer College-General Santos City,181,10,1 is to 18
Region XII,Central Mindanao Colleges,1741,76,1 is to 23
Region XII,Regency Polytechnic College,1587,38,1 is to 42
Region XII,Cotabato Medical Foundation College,204,24,1 is to 9
Region XII,De La Vida College,131,16,1 is to 8
Region XII,Dr. Domingo B. Tamondong Memorial School,52,14,1 is to 4
Region XII,Dr. P. Ocampo Colleges,430,28,1 is to 15
Region XII,Headstart College of Cotabato,1076,13,1 is to 83
Region XII,King's College of Isulan,66,8,1 is to 8
Region XII,Lebak Family Doctors' School of Midwifery,28,13,1 is to 2
Region XII,Mindanao Capitol College,325,19,1 is to 17
Region XII,Colegio de Kidapawan,1735,66,1 is to 26
Region XII,Northern Cotabato Colleges Foundation,91,8,1 is to 11
Region XII,Notre Dame Center for Catechesis,33,10,1 is to 3
Region XII,Notre Dame Hospital and School of Midwifery,196,12,1 is to 16
Region XII,Notre Dame of Kidapawan College,1739,109,1 is to 16
Region XII,Notre Dame of Midsayap College,1856,96,1 is to 19
Region XII,Notre Dame of Salaman College,378,29,1 is to 13
Region XII,Notre Dame of Tacurong College,1268,71,1 is to 18
Region XII,Notre Dame University,3865,236,1 is to 16
Region XII,Quezon Colleges of Southern Philippines,685,22,1 is to 31
Region XII,St. Benedict College of Cotabato,321,30,1 is to 11
Region XII,St. Luke's Institute,258,23,1 is to 11
Region XII,Senator Ninoy Aquino College Foundation,330,18,1 is to 18
Region XII,Shariff Kabunsuan College,120,15,1 is to 8
Region XII,Southern Baptist College,1041,54,1 is to 19
Region XII,Southern Christian College,2607,64,1 is to 41
Region XII,Southern Mindanao Institute of Technology,1400,40,1 is to 35
Region XII,Southern Philippines Methodist College,106,15,1 is to 7
Region XII,St. Luke's Institute of Technology,19,11,1 is to 2
Region XII,Sultan Kudarat Educational Institution,187,39,1 is to 5
Region XII,North Valley College Foundation,379,52,1 is to 7
Region XII,STI College-Cotabato,1787,60,1 is to 30
Region XII,Central Mindanao Computer School,27,14,1 is to 2
Region XII,Antonio R. Pacheco College,273,9,1 is to 30
Region XII,AMA Computer College-Cotabato City,81,8,1 is to 10
Region XII,Adventist College of Technology,285,25,1 is to 11
Region XII,Goldenstate College,2417,33,1 is to 73
Region XII,Kutawato Darrusalam College,36,11,1 is to 3
Region XII,General Santos Doctors' Medical School Foundation,673,39,1 is to 17
Region XII,Read Data Access Computer College,104,9,1 is to 12
Region XII,Notre Dame-Siena College of Polomolok,170,20,1 is to 9
Region XII,Notre Dame RVM College of Cotabato,456,28,1 is to 16
Region XII,Brokenshire College-Soccsksargen,313,38,1 is to 8
Region XII,AMA Computer Learning Center College,301,11,1 is to 27
Region XII,Holy Child College of Information Technology,379,21,1 is to 18
Region XII,South East Asian Institute of Technology,167,32,1 is to 5
Region XII,Valdez Mother and Child City College,488,28,1 is to 17
Region XII,Asian Colleges and Technological Institute,9,6,1 is to 2
Region XII,Sta. Maria School of Paramedics and Technology,5,4,1 is to 1
Region XII,Stratford International School,546,40,1 is to 14
Region XII,ACLC College of Marbel,532,23,1 is to 23
Region XII,Korbel Foundation College,415,21,1 is to 20
Region XII,STI College-Koronadal City,858,22,1 is to 39
Region XII,Microspan Software Technology,146,16,1 is to 9
Region XII,I-Link College of Science and Technology,446,6,1 is to 74
Region XII,Coland Systems Technology,424,17,1 is to 25
Region XII,Goldenstate College of Koronadal City,707,14,1 is to 51
Region XII,Marvelous College of Technology,394,23,1 is to 17
Region XII,International Cruise Ship College,48,15,1 is to 3
Region XII,STI College-Koronadal City-Tacurong City Branch,443,23,1 is to 19
Region XII,B.E.S.T. College of Polomolok,142,16,1 is to 9
Region XII,Ramon Magsaysay Memorial College-Marbel,534,17,1 is to 31
Region XII,General Santos Academy of Polomolok-Cotabato,521,40,1 is to 13
Region XII,Marbel Institute of Technical College,19,13,1 is to 1
Region XII,Holy Child College of Information Technology,8,11,1 is to 1
Region XII,4A School of Excellence,26,13,1 is to 2
Region XII,Joji Ilagan International School of Hotel and Tourism Management,207,10,1 is to 21
Region XII,Northpoint College of Arts and Technology,16,22,1 is to 1
Region XII,MMG School of Paramedics and Allied Sciences,4,8,1 is to 1
Region XII,Villamor Institute of Technology,291,13,1 is to 22
Region XII,Cronasia Foundation College,763,47,1 is to 16
Region XII,Green Valley College Foundation-Isulan Campus,11,12,1 is to 1
NCR,Adamson University,16181,615,1 is to 26
NCR,Air Link International Aviation College,825,42,1 is to 20
NCR,Alejandro Colleges,76,8,1 is to 10
NCR,Alliance Graduate School,92,24,1 is to 4
NCR,AMA Computer College-Makati,1358,40,1 is to 34
NCR,AMA Computer University,2041,76,1 is to 27
NCR,Arellano University-Manila,5664,309,1 is to 18
NCR,Arellano University-Malabon,241,28,1 is to 9
NCR,Arellano University-Pasay,2736,58,1 is to 47
NCR,Arellano University-Pasig,1548,83,1 is to 19
NCR,Asia Pacific College,2638,107,1 is to 25
NCR,Asian Institute for Distance Education ,131,ND,ND
NCR,Asian Institute of Journalism and Communication,34,5,1 is to 7
NCR,Asian Institute of Management,397,ND,ND
NCR,Asian Institute of Maritime Studies,4542,91,1 is to 50
NCR,Asian Seminary of Christian Ministries,127,31,1 is to 4
NCR,Asian Social Institute,205,25,1 is to 8
NCR,Asian Theological Seminary,240,30,1 is to 8
NCR,Assumption College,1201,110,1 is to 11
NCR,Ateneo De Manila University,9979,621,1 is to 16
NCR,Ateneo Graduate School of Business,4035,89,1 is to 45
NCR,Bernardo College,212,28,1 is to 8
NCR,Biblical Seminary of the Philippines,130,25,1 is to 5
NCR,CAP College Foundation,480,ND,ND
NCR,University of Asia and the Pacific,1879,205,1 is to 9
NCR,Central Colleges of the Philippines,1772,120,1 is to 15
NCR,Centro Escolar University-Manila,14896,576,1 is to 26
NCR,Chiang Kai Shek College,714,46,1 is to 16
NCR,Chinese General Hospital College of Nursing and Liberal Arts,453,26,1 is to 17
NCR,Saint Anthony Mary Claret College,165,23,1 is to 7
NCR,Colegio de San Juan de Letran,4046,152,1 is to 27
NCR,Colegio de San Lorenzo ,1162,42,1 is to 28
NCR,College of the Holy Spirit of Manila,561,51,1 is to 11
NCR,Concordia College,620,58,1 is to 11
NCR,Datamex Computer College-Pasay,2937,18,1 is to 163
NCR,De La Salle University-Manila,18754,1050,1 is to 18
NCR,STI College-De Los Santos,345,40,1 is to 9
NCR,De Ocampo Memorial College,176,21,1 is to 8
NCR,Divine Word Mission Seminary,153,23,1 is to 7
NCR,De La Salle-College of Saint Benilde,13148,779,1 is to 17
NCR,Dominican College,250,32,1 is to 8
NCR,Don Bosco Technical College,1026,74,1 is to 14
NCR,Dr. Carlos S. Lanting College,3135,109,1 is to 29
NCR,Emilio Aguinaldo College,3894,162,1 is to 24
NCR,Caritas Family Hospital and Colleges,486,37,1 is to 13
NCR,Far Eastern University,27886,905,1 is to 31
NCR,FEATI University,1169,112,1 is to 10
NCR,Febias College of Bible,182,30,1 is to 6
NCR,FEU-FERN College,1501,79,1 is to 19
NCR,FEU-Dr. Nicanor Reyes Medical Foundation,3295,353,1 is to 9
NCR,Governor Andres Pascual College,625,27,1 is to 23
NCR,Greenville College,2957,30,1 is to 99
NCR,De La Salle-Araneta University ,2297,116,1 is to 20
NCR,Guzman College of Science and Technology,38,15,1 is to 3
NCR,Holy Rosary College Foundation,134,18,1 is to 7
NCR,Institute of Community and Family Health,44,8,1 is to 6
NCR,Institute of Formation and Religious Studies,137,22,1 is to 6
NCR,Interface Computer College-Manila,398,14,1 is to 28
NCR,International Academy of Management and Economics,2361,34,1 is to 69
NCR,International Baptist College,33,27,1 is to 1
NCR,International Graduate School of Leadership,142,24,1 is to 6
NCR,J.P. Sioson General Hospital and Colleges,43,14,1 is to 3
NCR,Jose Rizal University,8189,203,1 is to 40
NCR,La Consolacion College-Manila,1363,80,1 is to 17
NCR,La Consolacion College-Caloocan,405,23,1 is to 18
NCR,Lacson College,441,15,1 is to 29
NCR,Las Pinas College,205,37,1 is to 6
NCR,Regis Marie College,108,14,1 is to 8
NCR,Lyceum of the Philippines University,11543,231,1 is to 50
NCR,Manila Central University,3335,224,1 is to 15
NCR,Manila Tytana Colleges,1772,150,1 is to 12
NCR,Manila Law College,104,19,1 is to 5
NCR,Manila Adventist Medical Center and Colleges,606,64,1 is to 9
NCR,Manila Theological College,155,19,1 is to 8
NCR,Manuel L. Quezon University,1256,150,1 is to 8
NCR,Mapua Institute of Technology-Manila,11676,401,1 is to 29
NCR,Mapua Institute of Technology-Makati,2486,94,1 is to 26
NCR,Martinez Memorial College,354,32,1 is to 11
NCR,Mary Chiles College,78,25,1 is to 3
NCR,Mary Johnston College,14,12,1 is to 1
NCR,CICM Maryhill School of Theology,187,25,1 is to 7
NCR,Metro Business College-Pasay,373,7,1 is to 53
NCR,Metro Manila College,1808,80,1 is to 23
NCR,Metropolitan Hospital College of Nursing,862,53,1 is to 16
NCR,Miriam College,3199,263,1 is to 12
NCR,Mother of Life Center,41,15,1 is to 3
NCR,Namei Polytechnic Institute,638,30,1 is to 21
NCR,National College of Business and Arts-Cubao,777,35,1 is to 22
NCR,National College of Business and Arts-Fairview,3066,74,1 is to 41
NCR,The National Teachers College,6604,119,1 is to 55
NCR,National University,3993,159,1 is to 25
NCR,New Era University,13060,339,1 is to 39
NCR,Olivarez College,1576,95,1 is to 17
NCR,Our Lady of Fatima University-Fatima Medical Science Foundation-Valenzuela,12264,ND,ND
NCR,Our Lady of Lourdes College,382,29,1 is to 13
NCR,Our Lady of the Angels Seminary,158,29,1 is to 5
NCR,Pace Graduate School of Christian Education,29,12,1 is to 2
NCR,Pasig Catholic College,704,51,1 is to 14
NCR,Patts College of Aeronautics,5567,105,1 is to 53
NCR,Perpetual Help College of Manila,934,71,1 is to 13
NCR,University of Perpetual Help System-Dalta,8410,347,1 is to 24
NCR,Philippine Dominican Center of Institutional Studies,73,22,1 is to 3
NCR,Philippine Christian University,4112,223,1 is to 18
NCR,Philippine College of Criminology,3510,129,1 is to 27
NCR,Philippine College of Health Sciences,886,69,1 is to 13
NCR,St. Louis College-Valenzuela,535,29,1 is to 18
NCR,Philippine Law School,406,19,1 is to 21
NCR,Philippine Merchant Marine School-Manila,217,10,1 is to 22
NCR,Philippine Merchant Marine School-Las Pinas,12724,94,1 is to 135
NCR,Philippine School of Business Administration-Quezon City,3280,79,1 is to 42
NCR,Philippine School of Business Administration-Manila,1602,53,1 is to 30
NCR,Philippine Women's University System-Manila,4031,212,1 is to 19
NCR,Philippine Women's University System-Quezon City,183,28,1 is to 7
NCR,Philsin College Foundation,339,9,1 is to 38
NCR,Philippine Maritime Institute-Manila,2229,102,1 is to 22
NCR,PMI Colleges-Quezon City,3347,95,1 is to 35
NCR,World Citi Colleges-Quezon City,1051,65,1 is to 16
NCR,Makati Medical Center College of Nursing,388,46,1 is to 8
NCR,Republican College,349,27,1 is to 13
NCR,Roosevelt College-Marikina,114,33,1 is to 3
NCR,St. Cammillus College Seminary,118,23,1 is to 5
NCR,St. Francis Divine College,44,21,1 is to 2
NCR,Saint Francis of Assisi College,807,31,1 is to 26
NCR,St. Joseph's College of Quezon City,706,51,1 is to 14
NCR,St. Jude College,1772,125,1 is to 14
NCR,St. Paul University-Manila (St. Paul Univerity System),1940,132,1 is to 15
NCR,St. Paul University-Quezon City,1659,101,1 is to 16
NCR,Saint Rita College-Manila,64,19,1 is to 3
NCR,St. Scholastica's College,2077,205,1 is to 10
NCR,Samson College of Science and Technology-Quezon City,317,16,1 is to 20
NCR,San Beda College,7385,305,1 is to 24
NCR,San Carlos Seminary,189,42,1 is to 5
NCR,San Juan de Dios Educational Foundation,465,46,1 is to 10
NCR,San Sebastian College-Recoletos,3928,159,1 is to 25
NCR,Sta. Catalina College,93,11,1 is to 8
NCR,Santa Isabel College,697,86,1 is to 8
NCR,Siena College,386,33,1 is to 12
NCR,Southeastern College,314,17,1 is to 18
NCR,St. Luke's College of Medicine-William H. Quasha Memorial,333,157,1 is to 2
NCR,St. Rita Hospital College of Nursing and School of Midwifery,359,25,1 is to 14
NCR,Stella Maris College,106,16,1 is to 7
NCR,System Plus Computer College-Quezon City,209,18,1 is to 12
NCR,Technological Institute of the Philippines-Manila,8572,259,1 is to 33
NCR,Technological Institute of The Philippines-Quezon City,13494,385,1 is to 35
NCR,Trinity University of Asia,5203,219,1 is to 24
NCR,Unciano Colleges and General Hospital,229,20,1 is to 11
NCR,Southeast Asian College,683,67,1 is to 10
NCR,University of the East Ramon Magsaysay Memorial Medical Center,2592,344,1 is to 8
NCR,University of Manila,9600,223,1 is to 43
NCR,University of Santo Tomas,43221,1791,1 is to 24
NCR,University of the East-Manila,15906,614,1 is to 26
NCR,University of the East-Caloocan,7187,153,1 is to 47
NCR,Angelicum College,157,36,1 is to 4
NCR,Asian College of Science and Technology-Cubao,482,38,1 is to 13
NCR,Don Bosco Center of Studies,191,23,1 is to 8
NCR,Abraham Dumlao Colleges of the Philippines,105,4,1 is to 26
NCR,FEU-East Asia College,7624,228,1 is to 33
NCR,IETI College-Alabang,856,21,1 is to 41
NCR,Our Lady of Perpetual Succor College,326,32,1 is to 10
NCR,San Beda College-Alabang,2039,131,1 is to 16
NCR,St. Dominic Savio College,1262,43,1 is to 29
NCR,St. John Technological College of the Philippines,620,28,1 is to 22
NCR,STI College-Alabang,785,20,1 is to 39
NCR,STI College-Cubao,1245,44,1 is to 28
NCR,STI College-EDSA Crossing,689,31,1 is to 22
NCR,STI Education Services Group-Global City,3475,101,1 is to 34
NCR,STI College-Caloocan,2469,72,1 is to 34
NCR,STI College-Makati,569,30,1 is to 19
NCR,STI College-Munoz EDSA,1032,57,1 is to 18
NCR,STI College-Novaliches,1405,54,1 is to 26
NCR,STI Education Services Group-Fairview,3137,38,1 is to 83
NCR,STI College-Taft,523,33,1 is to 16
NCR,STI College-Recto,1073,38,1 is to 28
NCR,Philippine Rehabilitation Institute Foundation,158,31,1 is to 5
NCR,Immaculada Concepcion Colleges,69,15,1 is to 5
NCR,O.B. Montessori Center,48,16,1 is to 3
NCR,West Bay College,1328,41,1 is to 32
NCR,System Plus Computer College-Caloocan,54,10,1 is to 5
NCR,Saint Bernadette College of Alabang,203,25,1 is to 8
NCR,Children of Mary Immaculate College,40,14,1 is to 3
NCR,Nova Computer College,34,8,1 is to 4
NCR,Informatics College-Manila,386,13,1 is to 30
NCR,The Fisher Valley College,877,32,1 is to 27
NCR,La Consolacion College-Deparo,203,25,1 is to 8
NCR,St. John Berchmans School of Manila Foundation,43,ND,ND
NCR,ABE International College of Business and Economics-Legarda,539,18,1 is to 30
NCR,AMA Computer College-Caloocan,562,15,1 is to 37
NCR,AMA Computer College-Fairview,989,23,1 is to 43
NCR,AMA Computer College-Paranaque,570,16,1 is to 36
NCR,AMA Computer College-Sta. Mesa,468,20,1 is to 23
NCR,Asia School of Arts and Sciences,92,15,1 is to 6
NCR,Child Jesus College,56,7,1 is to 8
NCR,Divine Mercy College Foundation,1201,56,1 is to 21
NCR,Tech Pacific College,28,7,1 is to 4
NCR,Informatics College-Caloocan,325,16,1 is to 20
NCR,Interface Computer College-Caloocan,320,18,1 is to 18
NCR,Our Lady of Fatima University-Quezon City,8523,155,1 is to 55
NCR,Our Lady of Lourdes Technological College,544,15,1 is to 36
NCR,St. Clare College of Caloocan,2209,45,1 is to 49
NCR,St. James College of Quezon City,128,25,1 is to 5
NCR,STI College-Las Pinas,920,41,1 is to 22
NCR,STI College-Paranaque,1122,22,1 is to 51
NCR,Asia Graduate School of Theology,22,12,1 is to 2
NCR,AMA Computer College-Las Pinas,492,19,1 is to 26
NCR,AMA Computer College-Pasig City,711,22,1 is to 32
NCR,Wesleyan College of Manila,166,30,1 is to 6
NCR,Loral Douglas Woosley Bethany Colleges,79,24,1 is to 3
NCR,STI College-Marikina,633,14,1 is to 45
NCR,IETI College of Science and Technology-Marikina,286,17,1 is to 17
NCR,Manila Business College,462,29,1 is to 16
NCR,St. James College of Paranaque,34,15,1 is to 2
NCR,Access Computer and Technical Colleges-Manila,1572,11,1 is to 143
NCR,Kalayaan College,342,46,1 is to 7
NCR,Criminal Justice College,166,17,1 is to 10
NCR,Entrepreneurs School of Asia,224,26,1 is to 9
NCR,Asian Institute of Computer Studies,227,12,1 is to 19
NCR,St. Mary's College,97,37,1 is to 3
NCR,ABE International College of Business and Accountancy-Cubao,731,28,1 is to 26
NCR,ABE International College of Business and Accountancy-Las Pinas,644,24,1 is to 27
NCR,National Christian Life College,138,12,1 is to 12
NCR,Global City Innovative College,860,89,1 is to 10
NCR,Center for Early Childhood Care and Development,14,9,1 is to 2
NCR,Southville International School and Colleges,1026,74,1 is to 14
NCR,Information and Communications Technology Academy,529,48,1 is to 11
NCR,Our Lady of Guadalupe Colleges,239,22,1 is to 11
NCR,STI College-Quezon Avenue,542,37,1 is to 15
NCR,The Manila Times College,41,11,1 is to 4
NCR,Access Computer and Technical Colleges-Quezon City,1116,13,1 is to 86
NCR,Immaculate Heart of Mary College-Paranaque,187,36,1 is to 5
NCR,Lyceum of Alabang,2351,44,1 is to 53
NCR,Rogationist Seminary College,186,28,1 is to 7
NCR,La Consolacion College-Pasig,79,22,1 is to 4
NCR,Kester Grant College Philippines,115,25,1 is to 5
NCR,Informatics College-Quezon City,631,32,1 is to 20
NCR,ABE International Business College-Caloocan City,567,22,1 is to 26
NCR,Informatics College-Eastwood,341,17,1 is to 20
NCR,World Citi Colleges-Caloocan,1204,16,1 is to 75
NCR,Colegio de Santa Monica-Manila,181,22,1 is to 8
NCR,Informatics College-Northgate,451,15,1 is to 30
NCR,Saint Bernadette College of Health and Sciences,367,31,1 is to 12
NCR,Mary the Queen College of Science and Technology,837,34,1 is to 25
NCR,St. Bernadette of Lourdes College,65,20,1 is to 3
NCR,Flight School International,64,16,1 is to 4
NCR,Capitol Medical Center Colleges,231,21,1 is to 11
NCR,Saint Pedro Poveda College,29,27,1 is to 1
NCR,Saint Mary's College of San Juan,301,10,1 is to 30
NCR,New England College,123,28,1 is to 4
NCR,Universal Colleges of Paranaque,805,39,1 is to 21
NCR,South Mansfield College,131,ND,ND
NCR,ABE International College of Business and Accountancy-Taft,358,21,1 is to 17
NCR,St. John of Beverly School,67,17,1 is to 4
NCR,NOVAGEN College of Quezon City,293,26,1 is to 11
NCR,Jesus Reigns Christian College Foundation,235,43,1 is to 5
NCR,Villagers Montessori College,418,32,1 is to 13
NCR,AMA School of Medicine,39,16,1 is to 2
NCR,Sta. Cecilia College,1251,17,1 is to 74
NCR,Enderun College,945,82,1 is to 12
NCR,Messiah College Foundation,67,25,1 is to 3
NCR,National Polytechnic College of Science and Technology,238,30,1 is to 8
NCR,Lady of Lourdes Hospital and Colleges of Caybiga,478,13,1 is to 37
NCR,College of St. Catherine,157,17,1 is to 9
NCR,Grace Christian College,50,36,1 is to 1
NCR,Centro Escolar University-Makati,4195,139,1 is to 30
NCR,Philippine Cultural College,106,29,1 is to 4
NCR,Diliman Computer Technology Institute,130,31,1 is to 4
NCR,The One Nation Entrepreneur School,30,10,1 is to 3
NCR,Bestlink College of the Philippines,9359,182,1 is to 51
NCR,Global Reciprocal Colleges,1615,76,1 is to 21
NCR,Golden Link College Foundation,63,26,1 is to 2
NCR,Pacific InterContinental College,17,ND,ND
NCR,ACLC College of Taguig,486,24,1 is to 20
NCR,Asian Institute of Computer Studies-Quezon City,166,9,1 is to 18
NCR,Far Eastern University-Makati,1912,83,1 is to 23
NCR,Infotech Institute of Arts and Sciences,143,ND,ND
NCR,St. Dominic Institute,268,15,1 is to 18
NCR,Treston International College,215,24,1 is to 9
NCR,ABE International Business College-Makati City,508,12,1 is to 42
NCR,Access Computer and Technical Colleges-Lagro,1458,9,1 is to 162
NCR,Facilities Management College,126,15,1 is to 8
NCR,ABE International Business College-Commonwealth,334,19,1 is to 18
NCR,College of Divine Wisdom,118,14,1 is to 8
NCR,La Consolacion College-Valenzuela,18,9,1 is to 2
NCR,AMA Computer College-Mandaluyong,105,9,1 is to 12
NCR,South SEED LPDH College,115,11,1 is to 10
