region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
Region III,College of the Our Lady of Mercy of Pulilan,190,26,1 is to 7
Region III,Immaculate Conception International College of Arts and Technology,299,36,1 is to 8
Region III,Mount Carmel College-Baler,1194,61,1 is to 20
Region III,Wesleyan University Philippines-Aurora,607,39,1 is to 16
Region IV-A,ACTS Computer College,642,19,1 is to 34
Region IV-A,Asia Pacific Nazarene Theological Seminary,103,15,1 is to 7
Region IV-A,Calauag Central College,483,26,1 is to 19
Region IV-A,Canossa College,291,44,1 is to 7
Region IV-A,Colegio de Los Banos,218,21,1 is to 10
Region IV-A,Colegio De San Juan De Letran-Calamba,4159,220,1 is to 19
Region IV-A,Colegio de Sto. Nino de Cabuyao,61,8,1 is to 8
Region IV-A,De La Salle-Lipa,6168,288,1 is to 21
Region IV-A,Deaf Evangelistic Alliance Foundation,141,8,1 is to 18
Region IV-A,Divine Word Seminary,147,24,1 is to 6
Region IV-A,De La Salle University-Dasmarinas,13452,791,1 is to 17
Region IV-A,De La Salle Health Sciences Institute,2915,356,1 is to 8
Region IV-A,Don Bosco College-Canlubang,355,42,1 is to 8
Region IV-A,Eastern Laguna Colleges,177,16,1 is to 11
Region IV-A,Eastern Quezon College,955,44,1 is to 22
Region IV-A,Eastern Tayabas College,14,6,1 is to 2
Region IV-A,Golden Gate Colleges,859,61,1 is to 14
Region IV-A,Harris Memorial College,181,32,1 is to 6
Region IV-A,Immaculada Concepcion Colleges-Soldier's Hills,31,18,1 is to 2
Region IV-A,Immaculate Conception College-Balayan,530,28,1 is to 19
Region IV-A,Imus Institute,678,49,1 is to 14
Region IV-A,ICCT Colleges,18668,194,1 is to 96
Region IV-A,Dr. Francisco L. Calingasan Memorial Colleges Foundation,402,25,1 is to 16
Region IV-A,Laguna College,1778,83,1 is to 21
Region IV-A,Laguna College of Business and Arts,2069,104,1 is to 20
Region IV-A,Laguna Northwestern College,718,32,1 is to 22
Region IV-A,Leon Guinto Memorial College,322,33,1 is to 10
Region IV-A,Lipa City Colleges,2771,115,1 is to 24
Region IV-A,Lyceum of the Philippines University-Batangas,9244,320,1 is to 29
Region IV-A,Mabini Junior College,50,9,1 is to 6
Region IV-A,Manuel S. Enverga University Foundation-Lucena,6808,221,1 is to 31
Region IV-A,Marcelino Fule Memorial College,223,28,1 is to 8
Region IV-A,Calayan Educational Foundation,960,75,1 is to 13
Region IV-A,Manuel S. Enverga University Foundation-Candelaria,1251,64,1 is to 20
Region IV-A,Manuel S. Enverga University Foundation-Catanauan,452,25,1 is to 18
Region IV-A,National College of Business and Arts-Taytay,967,33,1 is to 29
Region IV-A,Northern Quezon College,1564,59,1 is to 27
Region IV-A,Our Lady of Lourdes Seminary,23,20,1 is to 1
Region IV-A,University of Perpetual Help System-Laguna,5276,187,1 is to 28
Region IV-A,University of Perpetual Help-Dr. Jose G. Tamayo Medical University,2659,246,1 is to 11
Region IV-A,Adventist University of the Philippines,3899,246,1 is to 16
Region IV-A,Presbyterian Theological Seminary,61,30,1 is to 2
Region IV-A,Quezonian Educational College,320,29,1 is to 11
Region IV-A,Rizal College of Taal,1453,43,1 is to 34
Region IV-A,Rizal College of Laguna,261,22,1 is to 12
Region IV-A,Roosevelt College Cainta,334,66,1 is to 5
Region IV-A,Sacred Heart College ,1928,110,1 is to 18
Region IV-A,Saint Anne College of Lucena,1430,118,1 is to 12
Region IV-A,Saint Bridget College,515,37,1 is to 14
Region IV-A,Saint Francis de Sales Major Seminary,76,17,1 is to 4
Region IV-A,St. Joseph College-Cavite City,536,33,1 is to 16
Region IV-A,Saint Louis Anne Colleges,611,26,1 is to 24
Region IV-A,Saint Michael's College of Laguna,1050,68,1 is to 15
Region IV-A,Saint Paul Seminary Foundation,72,10,1 is to 7
Region IV-A,Saint Peter's College Seminary,72,26,1 is to 3
Region IV-A,San Antonio De Padua College,87,9,1 is to 10
Region IV-A,San Ildefonso College,167,16,1 is to 10
Region IV-A,San Pablo Colleges,1281,82,1 is to 16
Region IV-A,San Pedro College of Business Administration,4303,76,1 is to 57
Region IV-A,San Sebastian College-Recoletos de Cavite,2364,120,1 is to 20
Region IV-A,Siena College of Taytay,1086,78,1 is to 14
Region IV-A,Southeast Asia Interdisciplinary Development Institute,38,47,1 is to 1
Region IV-A,Tanauan Institute,1664,23,1 is to 72
Region IV-A,Tayabas Western Academy,330,26,1 is to 13
Region IV-A,Tomas Claudio Memorial College,2303,81,1 is to 28
Region IV-A,Unciano Colleges ,198,24,1 is to 8
Region IV-A,Union College of Laguna,584,57,1 is to 10
Region IV-A,Western Colleges,537,25,1 is to 21
Region IV-A,University of Batangas,5379,47,1 is to 114
Region IV-A,STI College-Lucena,453,26,1 is to 17
Region IV-A,University of Perpetual Help-Rizal Molino Campus,1925,86,1 is to 22
Region IV-A,STI College-San Pablo,442,20,1 is to 22
Region IV-A,STI Colleges of Luzon-Calamba Campus,738,38,1 is to 19
Region IV-A,Dominican College Sta. Rosa,39,20,1 is to 2
Region IV-A,Saints John and Paul Colleges,111,31,1 is to 4
Region IV-A,Sta. Teresa College,579,52,1 is to 11
Region IV-A,Southern Luzon College,219,11,1 is to 20
Region IV-A,STI College-Bacoor,792,28,1 is to 28
Region IV-A,STI College-Batangas,174,12,1 is to 15
Region IV-A,STI College-Sta. Cruz,427,27,1 is to 16
Region IV-A,STI College-Lipa,415,14,1 is to 30
Region IV-A,Trace College,301,16,1 is to 19
Region IV-A,STI eCollege Southwoods,690,37,1 is to 19
Region IV-A,AMA Computer College-Binan,609,21,1 is to 29
Region IV-A,Colegio De San Pedro,510,12,1 is to 43
Region IV-A,La Consolacion College-Binan,408,33,1 is to 12
Region IV-A,Laguna Science and Technology College,245,9,1 is to 27
Region IV-A,Mt. St. Aloysius Seminary,30,12,1 is to 3
Region IV-A,Cainta Catholic College,700,57,1 is to 12
Region IV-A,STI College Ortigas-Cainta,1184,44,1 is to 27
Region IV-A,Maryhill College,222,33,1 is to 7
Region IV-A,University of Perpetual Help System-GMA Campus,1285,69,1 is to 19
Region IV-A,Philippine Missionary Institute,105,24,1 is to 4
